n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2027, 2267, 51, 75, 0.32000, 0.68000, 0.06000, 0.17000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
503, 150, 41, 9, 0.01000, 0.00000, 0.00000, 0.00000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
1986, 1576, 37, 35, 0.08000, 0.16000, 0.06000, 0.06000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
1560, 897, 36, 26, 0.08000, 0.10000, 0.05000, 0.01000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
1162, 512, 37, 17, 0.04000, 0.03000, 0.02000, 0.00000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
275, 72, 30, 11, 0.01000, 0.01000, 0.00000, 0.00000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
166, 30, 20, 13, 0.01000, 0.01000, 0.00000, 0.00000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
144, 26, 17, 12, 0.00000, 0.01000, 0.00000, 0.00000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
114, 24, 15, 8, 0.01000, 0.01000, 0.00000, 0.00000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 41, 82, 0.29000, 0.36000, 0.07000, 0.16000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 41, 82, 0.26000, 0.30000, 0.07000, 0.13000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 41, 82, 0.25000, 0.30000, 0.06000, 0.13000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 41, 82, 0.31000, 0.40000, 0.07000, 0.13000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 41, 82, 0.27000, 0.29000, 0.06000, 0.12000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 41, 82, 0.31000, 0.42000, 0.12000, 0.13000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 41, 82, 0.32000, 0.30000, 0.07000, 0.12000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 41, 83, 0.31000, 0.29000, 0.07000, 0.12000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 39, 79, 0.27000, 0.28000, 0.06000, 0.12000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 39, 77, 0.26000, 0.28000, 0.06000, 0.12000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 38, 78, 0.32000, 0.39000, 0.08000, 0.12000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 38, 78, 0.30000, 0.30000, 0.07000, 0.13000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 38, 79, 0.27000, 0.28000, 0.09000, 0.13000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 38, 79, 0.28000, 0.29000, 0.06000, 0.13000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 38, 79, 0.31000, 0.39000, 0.12000, 0.14000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 38, 80, 0.25000, 0.28000, 0.07000, 0.14000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 41, 81, 0.30000, 0.40000, 0.13000, 0.12000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 40, 80, 0.31000, 0.40000, 0.12000, 0.12000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 41, 79, 0.29000, 0.27000, 0.07000, 0.12000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 40, 80, 0.26000, 0.27000, 0.06000, 0.12000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 41, 81, 0.34000, 0.29000, 0.08000, 0.14000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 42, 83, 0.35000, 0.29000, 0.07000, 0.13000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 43, 83, 0.34000, 0.28000, 0.07000, 0.12000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 43, 83, 0.25000, 0.28000, 0.06000, 0.12000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 46, 82, 0.33000, 0.27000, 0.06000, 0.13000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 53, 79, 0.33000, 0.26000, 0.07000, 0.13000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 52, 79, 0.28000, 0.26000, 0.07000, 0.14000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2629, 2267, 52, 79, 0.25000, 0.27000, 0.07000, 0.14000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
2871, 2267, 52, 92, 0.36000, 0.29000, 0.08000, 0.16000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3171, 2267, 52, 104, 0.39000, 0.35000, 0.07000, 0.19000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3171, 2267, 52, 104, 0.30000, 0.31000, 0.08000, 0.15000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3171, 2267, 44, 106, 0.29000, 0.35000, 0.09000, 0.15000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3122, 2267, 44, 99, 0.36000, 0.36000, 0.10000, 0.16000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3045, 2267, 40, 97, 0.29000, 0.66000, 0.12000, 0.20000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
135, 31, 14, 12, 0.00000, 0.01000, 0.00000, 0.00000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
140, 26, 16, 13, 0.01000, 0.01000, 0.00000, 0.00000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 44, 100, 0.38000, 0.51000, 0.10000, 0.24000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 44, 100, 0.40000, 0.39000, 0.10000, 0.16000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 44, 100, 0.28000, 0.40000, 0.09000, 0.19000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 44, 100, 0.33000, 0.35000, 0.10000, 0.14000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 44, 100, 0.29000, 0.34000, 0.11000, 0.14000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 44, 97, 0.31000, 0.31000, 0.09000, 0.14000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 44, 98, 0.27000, 0.35000, 0.11000, 0.16000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 44, 97, 0.35000, 0.31000, 0.09000, 0.14000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 43, 93, 0.36000, 0.30000, 0.08000, 0.13000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 43, 99, 0.36000, 0.31000, 0.07000, 0.14000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 42, 98, 0.33000, 0.31000, 0.07000, 0.13000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 42, 97, 0.32000, 0.31000, 0.07000, 0.14000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 42, 97, 0.35000, 0.32000, 0.08000, 0.13000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 42, 97, 0.32000, 0.32000, 0.07000, 0.13000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 42, 94, 0.36000, 0.31000, 0.07000, 0.13000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 42, 93, 0.37000, 0.30000, 0.07000, 0.14000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 42, 93, 0.28000, 0.29000, 0.07000, 0.14000, 
n_site, n_tet, site_k, tet_k, Tet_Sphere, Compute_RPD, GPU2CPU, Non_Dup_RPCs
3146, 2267, 43, 95, 0.33000, 0.30000, 0.07000, 0.14000, 
